104	0
104	17
104	41
104	9
104	6
104	97
495	194
495	308
495	188
495	423
495	396
495	392
495	485
495	328
495	325
495	300
495	493
495	338
495	177
495	139
495	199
495	428
495	372
495	288
495	333
495	402
495	211
495	240
495	105
495	296
495	317
495	186
495	366
573	496
573	518
573	507
573	503
573	554
573	504
715	574
715	622
715	579
715	598
715	629
715	634
715	581
715	623
715	596
715	707
715	660
715	619
715	696
715	701
798	761
798	731
798	752
798	772
798	716
950	864
950	829
950	834
950	903
950	868
950	847
950	938
950	799
950	808
950	862
950	815
950	817
950	809
993	984
993	988
993	968
993	981
993	977
993	955
993	951
1259	1029
1259	996
1259	1237
1259	1001
1259	994
1259	1183
1259	1025
1259	1024
1259	1126
1259	1071
2434	1912
2434	2394
2434	1478
2434	2129
2434	1889
2434	2092
2434	1431
2434	1717
2434	2179
2434	1529
2434	1287
2434	1341
2434	1646
2434	1851
2434	2254
2434	1376
2434	1260
2434	1394
2434	2011
2434	1572
2434	1566
2434	1879
2434	1377
2434	2299
2434	2194
2434	2200
2434	2235
2434	2213
2434	1865
2434	2112
2434	1827
2434	2344
2434	2024
2434	1305
2434	1322
2434	1383
2434	1709
2434	1980
2434	1953
2434	2360
2862	2665
2862	2574
2862	2532
2862	2824
2862	2786
2862	2678
2862	2613
2862	2673
2862	2483
2862	2650
2862	2504
2862	2553
2862	2467
2862	2435
2862	2512
2862	2707
2862	2520
2862	2800
2862	2760
2862	2449
2862	2497
2862	2791
2862	2745
2862	2494
2862	2584
2862	2857
2862	2806
2862	2725
2862	2625
2862	2715
3454	3161
3454	3202
3454	3007
3454	3367
3454	3070
3454	2947
3454	3138
3454	3098
3454	2988
3454	2887
3454	2896
3454	3385
3454	3045
3454	3330
3454	2914
3454	2972
3454	3234
3454	2931
3454	3038
3454	3292
3454	2863
3454	3431
3454	3060
3454	3245
3454	3312
3454	3187
3502	3458
3502	3455
3502	3487
3502	3474
