juggy	267
arete	267
technical	267
pumpy	267
tricky	267
ledges	267
cruxy	268
pocketed	268
steep	268
thin	268
pumpy	268
tricky	268
slopers	268
powerful	268
crack	269
face	270
arete	270
crimpy	270
huecos	270
classic	270
cruxy	271
cruxy	272
roof	272
slabby	272
technical	272
tricky	272
cruxy	273
face	273
arete	273
arete	274
cruxy	276
pumpy	277
face	278
roof	278
pocketed	278
thin	278
classic	278
crack	279
tricky	279
face	280
bouldery	280
balancy	280
thin	281
roof	282
bouldery	282
pumpy	282
slabby	283
crimpy	283
bouldery	284
roof	285
pocketed	285
tricky	285
pumpy	286
slabby	287
tricky	287
face	288
roof	288
cruxy	289
pocketed	289
steep	289
bouldery	289
cruxy	290
pumpy	290
pocketed	291
bouldery	291
vertical	292
pumpy	292
cruxy	293
crimpy	293
technical	293
slopers	293
face	294
chimney	294
cruxy	295
thin	295
cruxy	296
face	296
vertical	296
ledges	296
roof	297
juggy	297
dihedral	297
layback	297
crack	298
face	298
roof	298
vertical	298
balancy	299
arete	300
thin	300
face	301
crimpy	301
vertical	301
face	302
pocketed	302
arete	302
chimney	302
face	303
arete	303
cruxy	304
juggy	304
crimpy	304
huecos	304
slopers	304
sequential	304
face	305
pocketed	305
steep	305
bouldery	305
huecos	305
sustained	305
slabby	306
technical	306
crack	307
pocketed	308
juggy	308
huecos	308
slopers	308
dihedral	309
juggy	310
technical	310
crack	312
crack	313
slabby	313
off-width	313
cruxy	314
pocketed	314
huecos	314
pumpy	314
slopers	314
sustained	314
balancy	314
face	315
thin	315
crack	316
face	316
flake	316
huecos	316
layback	316
bouldery	317
cruxy	318
face	318
pocketed	318
bouldery	318
crimpy	318
thin	318
slopers	318
face	319
roof	319
bouldery	319
slabby	319
thin	319
cruxy	320
face	320
roof	320
huecos	320
cruxy	321
pocketed	321
juggy	321
crimpy	321
huecos	321
vertical	321
pumpy	321
slopers	321
sequential	321
powerful	321
cruxy	322
steep	322
juggy	322
pumpy	322
crack	323
face	323
slabby	323
steep	324
juggy	324
huecos	324
slopers	324
sequential	324
face	326
slabby	326
dihedral	326
huecos	326
technical	326
balancy	326
slabby	327
arete	327
crack	329
face	329
crack	330
juggy	330
slabby	331
technical	331
roof	332
dihedral	332
stem	332
crack	333
dihedral	333
corner	333
layback	333
stem	333
cruxy	334
pocketed	334
steep	334
pocketed	336
corner	336
flake	336
slopers	336
pocketed	337
juggy	337
crimpy	337
huecos	337
pumpy	337
slopers	337
sequential	337
pocketed	338
cruxy	339
face	339
pocketed	339
bouldery	339
slopers	339
pocketed	340
bouldery	340
slabby	340
tricky	340
slopers	340
crack	341
pocketed	341
crack	342
arete	342
dihedral	342
corner	342
face	343
bouldery	343
slabby	343
dihedral	344
steep	345
arete	345
pumpy	345
slopers	345
face	346
pocketed	346
steep	346
pumpy	346
pocketed	347
flake	347
crack	348
cruxy	348
pocketed	348
bouldery	348
stem	348
face	350
face	351
pocketed	351
pumpy	351
sequential	351
face	353
arete	353
huecos	354
slopers	354
face	355
pocketed	355
steep	355
face	356
pocketed	356
steep	356
bouldery	356
bouldery	357
juggy	357
pumpy	357
classic	358
bouldery	359
roof	360
slabby	360
cruxy	361
slabby	361
cruxy	362
bouldery	362
classic	362
steep	363
juggy	363
pumpy	363
steep	364
pumpy	364
cruxy	365
roof	365
bouldery	365
arete	365
corner	365
pumpy	365
slopers	365
dihedral	366
chimney	366
cruxy	367
slopers	367
sequential	367
stem	367
cruxy	368
face	368
pocketed	368
thin	368
flake	368
technical	368
pumpy	368
ledges	368
face	369
pocketed	369
steep	369
slabby	369
thin	369
technical	369
pumpy	369
classic	369
cruxy	370
pocketed	370
thin	370
pinches	370
crack	371
face	371
juggy	371
flake	371
vertical	371
face	372
roof	372
thin	372
vertical	372
layback	372
arete	373
roof	375
steep	375
juggy	375
cruxy	376
roof	376
juggy	376
arete	376
flake	376
technical	376
sequential	376
crack	377
thin	377
corner	377
pumpy	377
bouldery	378
slabby	378
thin	378
off-width	378
face	379
steep	379
pumpy	379
balancy	379
face	380
pocketed	380
slabby	380
cruxy	381
pocketed	381
slopers	381
stem	381
steep	382
slabby	382
face	383
pocketed	383
arete	383
crimpy	383
thin	383
flake	383
pocketed	384
steep	384
juggy	384
slabby	385
tricky	385
steep	386
crimpy	386
powerful	386
cruxy	388
steep	388
juggy	388
steep	389
face	390
flake	390
chimney	390
pinches	391
thin	394
vertical	394
bouldery	395
slabby	395
cruxy	397
face	397
arete	397
crimpy	397
thin	397
technical	397
crack	398
cruxy	398
thin	398
flake	398
crack	399
face	399
pocketed	400
technical	400
vertical	400
pumpy	400
bouldery	402
crack	403
dihedral	403
corner	403
sustained	403
bouldery	404
tricky	404
sustained	404
face	405
pumpy	406
crack	407
cruxy	407
chimney	407
stem	407
roof	408
dihedral	408
flake	408
cruxy	409
crimpy	409
slopers	409
flake	410
ledges	410
juggy	412
flake	412
face	413
roof	413
technical	413
balancy	413
balancy	414
roof	417
cruxy	418
bouldery	418
crack	419
face	419
off-width	419
roof	420
bouldery	421
face	422
roof	422
vertical	422
face	423
face	424
steep	424
juggy	424
arete	424
corner	424
stem	424
crack	425
chimney	425
thin	426
huecos	426
face	427
pinches	427
cruxy	429
face	429
roof	429
slabby	429
sustained	429
face	430
bouldery	431
flake	431
face	432
tricky	432
sequential	432
face	433
roof	433
pocketed	433
steep	433
bouldery	433
slabby	433
arete	433
thin	433
flake	433
huecos	433
technical	433
balancy	434
juggy	435
juggy	436
crimpy	436
chimney	437
face	438
slabby	439
arete	439
thin	439
sequential	439
face	440
roof	441
steep	441
cruxy	442
bouldery	442
huecos	442
pumpy	442
classic	442
face	443
steep	443
arete	443
slopers	444
undercling	444
face	445
steep	445
arete	445
huecos	445
steep	446
undercling	446
crack	447
cruxy	447
face	447
corner	447
technical	447
tricky	447
cruxy	448
roof	448
pocketed	448
bouldery	448
crimpy	448
huecos	448
pumpy	448
slopers	448
pocketed	449
bouldery	449
crimpy	449
powerful	449
bouldery	450
crimpy	450
flake	450
bouldery	451
thin	451
pumpy	451
steep	452
arete	452
crack	453
slabby	453
juggy	453
stem	453
pumpy	454
slopers	454
slabby	455
juggy	456
arete	456
crack	457
cruxy	457
pocketed	457
steep	457
juggy	457
crimpy	458
pumpy	458
face	459
chimney	459
sustained	459
crack	460
cruxy	460
pocketed	460
bouldery	460
crimpy	460
thin	460
vertical	460
classic	460
undercling	460
layback	460
cruxy	461
slopers	461
crack	462
face	462
slabby	462
dihedral	462
slopers	462
crack	463
cruxy	463
face	463
slabby	463
huecos	463
cruxy	464
face	464
bouldery	464
crack	465
steep	465
vertical	465
pumpy	465
sequential	465
cruxy	466
pocketed	466
crack	467
cruxy	467
steep	467
corner	467
slopers	467
stem	467
crack	468
cruxy	468
crack	469
crack	470
slabby	470
juggy	470
arete	470
thin	470
flake	470
pumpy	470
tricky	470
cruxy	471
roof	471
steep	471
bouldery	471
juggy	471
arete	471
dihedral	471
technical	471
pumpy	471
tricky	471
slopers	471
sequential	471
pinches	471
crack	472
face	472
steep	472
corner	472
flake	472
bouldery	473
crimpy	473
powerful	473
sequential	474
crack	475
roof	475
dihedral	475
face	476
classic	476
crack	477
steep	477
slabby	477
face	478
roof	478
pumpy	478
cruxy	479
face	479
roof	479
slabby	479
arete	479
crimpy	479
huecos	479
slopers	479
undercling	479
cruxy	480
thin	480
crack	481
cruxy	481
roof	481
pocketed	481
thin	481
pocketed	482
steep	482
juggy	482
sequential	482
steep	483
dihedral	483
ledges	483
sequential	483
powerful	483
vertical	484
pumpy	484
sequential	484
cruxy	485
steep	485
juggy	485
crimpy	485
thin	485
huecos	485
pumpy	485
roof	486
pumpy	486
tricky	486
bouldery	487
arete	488
cruxy	489
juggy	489
huecos	489
pumpy	489
classic	489
slopers	489
undercling	489
crack	490
slabby	490
huecos	490
slopers	490
pocketed	491
bouldery	491
thin	491
pumpy	491
sequential	491
cruxy	492
face	492
pocketed	492
steep	492
slabby	492
juggy	492
thin	492
flake	492
technical	492
classic	492
bouldery	493
cruxy	494
slopers	494
undercling	494
cruxy	495
steep	495
bouldery	496
crimpy	496
thin	496
slopers	496
pinches	496
cruxy	497
steep	497
slabby	497
crimpy	497
flake	497
huecos	497
pumpy	497
crack	498
cruxy	498
juggy	498
stem	498
cruxy	499
juggy	499
pumpy	499
classic	499
bouldery	500
thin	500
pumpy	500
sustained	500
pocketed	501
steep	501
vertical	501
cruxy	502
slopers	502
stem	502
bouldery	503
slabby	503
cruxy	504
face	504
pocketed	504
undercling	504
powerful	504
cruxy	505
juggy	505
pumpy	505
classic	505
undercling	505
corner	507
technical	507
stem	507
steep	508
huecos	508
slopers	508
cruxy	509
pocketed	509
bouldery	509
thin	509
technical	509
pumpy	509
sustained	509
face	510
vertical	510
cruxy	511
bouldery	511
huecos	511
pumpy	511
slopers	511
bouldery	512
slabby	512
dihedral	512
sustained	512
cruxy	513
bouldery	513
slabby	513
dihedral	513
technical	513
roof	514
pocketed	514
cruxy	515
cruxy	516
crimpy	516
pumpy	516
slabby	517
flake	517
cruxy	518
juggy	518
arete	518
face	519
roof	519
bouldery	519
huecos	519
sustained	519
balancy	519
face	520
pocketed	520
steep	520
bouldery	520
thin	520
face	521
cruxy	522
roof	522
juggy	522
corner	522
bouldery	524
juggy	524
roof	525
slabby	525
cruxy	526
pocketed	526
bouldery	526
crimpy	526
flake	526
cruxy	527
face	527
roof	527
cruxy	528
face	528
pocketed	528
steep	528
dihedral	528
flake	528
cruxy	529
slabby	529
thin	529
crack	530
slabby	530
dihedral	530
flake	530
cruxy	531
pocketed	531
juggy	531
bouldery	532
crack	533
face	533
crack	534
cruxy	534
pocketed	534
steep	534
slabby	534
corner	534
pumpy	534
classic	534
slopers	534
stem	534
pocketed	535
crimpy	535
cruxy	536
cruxy	537
face	537
steep	537
slabby	537
juggy	537
face	538
tricky	538
cruxy	539
cruxy	540
face	540
slabby	540
classic	540
roof	541
slabby	541
flake	541
vertical	541
balancy	541
face	542
steep	542
face	543
steep	543
bouldery	543
classic	543
crack	544
dihedral	544
face	545
vertical	545
crack	546
roof	547
pocketed	547
steep	547
bouldery	547
slabby	547
thin	547
flake	547
face	548
tricky	548
cruxy	549
juggy	549
cruxy	550
face	550
pocketed	550
crimpy	550
technical	550
vertical	550
tricky	550
sequential	550
bouldery	551
arete	551
dihedral	551
crimpy	551
huecos	551
technical	551
pumpy	551
pinches	551
roof	552
slabby	552
arete	552
slabby	553
vertical	553
crack	554
roof	554
pocketed	554
bouldery	554
corner	554
stem	554
cruxy	555
technical	555
tricky	555
powerful	555
pocketed	556
juggy	556
slabby	557
vertical	557
crack	558
face	558
slabby	558
dihedral	558
corner	558
cruxy	559
bouldery	559
pumpy	559
cruxy	560
pocketed	560
cruxy	561
pocketed	561
bouldery	561
pumpy	561
sustained	561
slabby	562
cruxy	564
cruxy	565
roof	565
cruxy	566
technical	566
cruxy	567
huecos	567
pocketed	568
ledges	568
crack	569
face	569
thin	569
corner	569
crack	570
juggy	572
flake	572
arete	573
face	574
pocketed	574
tricky	574
juggy	575
dihedral	576
crack	577
slabby	577
balancy	577
slabby	578
thin	578
technical	578
crack	579
face	579
roof	579
slabby	580
